date,name,pos,from,to
2015-04-08,양훈,p,한화,넥센
2015-04-08,이성열,o,넥센,한화
2015-04-08,허도환,c,넥센,한화
2015-04-20,이준형,p,KT,LG
2015-04-20,윤요섭,c,LG,KT
2015-04-20,박용근,i,LG,KT
2015-05-02,박세웅,p,KT,롯데
2015-05-02,이성민,p,KT,롯데
2015-05-02,조현우,p,KT,롯데
2015-05-02,안중열,c,KT,롯데
2015-05-02,장성우,c,롯데,KT
2015-05-02,이창진,i,롯데,KT
2015-05-02,윤여운,c,롯데,KT
2015-05-02,하준호,o,롯데,KT
2015-05-02,최대성,p,롯데,KT
2015-05-06,임준섭,p,KIA,한화
2015-05-06,박성호,p,KIA,한화
2015-05-06,이종환,o,KIA,한화
2015-05-06,유창식,p,한화,KIA
2015-05-06,김광수,p,한화,KIA
2015-05-06,노수광,o,한화,KIA
2015-05-06,오준혁,o,한화,KIA
2015-06-21,용덕한,c,KT,NC
2015-06-21,오정복,o,NC,KT
2015-06-21,홍성용,p,NC,KT
2015-07-24,정의윤,o,LG,SK
2015-07-24,신재웅,p,LG,SK
2015-07-24,신동훈,p,LG,SK
2015-07-24,임훈,o,SK,LG
2015-07-24,진해수,p,SK,LG
2015-07-24,여건욱,p,SK,LG
